nSeq;I1;I2;O1;O2;A5;A6
0;0;0;0;0;589;46
1;0;0;0;0;593;46
2;0;0;0;0;597;46
3;0;0;0;0;592;46
4;0;0;0;0;588;46
5;0;0;0;0;592;46
6;0;0;0;0;591;46
7;0;0;0;0;583;47
8;0;0;0;0;575;47
9;0;0;0;0;580;47
10;0;0;0;0;596;47
11;0;0;0;0;607;48
12;0;0;0;0;600;48
13;0;0;0;0;602;48
14;0;0;0;0;598;48
15;0;0;0;0;589;48
0;0;0;0;0;587;48
1;0;0;0;0;591;47
2;0;0;0;0;595;48
3;0;0;0;0;589;47
4;0;0;0;0;594;47
5;0;0;0;0;602;47
6;0;0;0;0;597;47
7;0;0;0;0;583;47
8;0;0;0;0;568;46
9;0;0;0;0;575;46
10;0;0;0;0;593;46
11;0;0;0;0;589;46
12;0;0;0;0;577;46
13;0;0;0;0;556;46
14;0;0;0;0;546;45
15;0;0;0;0;559;46
0;0;0;0;0;579;47
1;0;0;0;0;596;47
2;0;0;0;0;600;48
3;0;0;0;0;583;48
4;0;0;0;0;560;49
5;0;0;0;0;559;50
6;0;0;0;0;585;52
7;0;0;0;0;619;55
8;0;0;0;0;640;57
9;0;0;0;0;648;59
10;0;0;0;0;642;61
11;0;0;0;0;628;62
12;0;0;0;0;616;63
13;0;0;0;0;613;65
14;0;0;0;0;608;66
15;0;0;0;0;593;68
0;0;0;0;0;583;70
1;0;0;0;0;575;71
2;0;0;0;0;574;73
3;0;0;0;0;576;75
4;0;0;0;0;574;77
5;0;0;0;0;579;79
6;0;0;0;0;579;80
7;0;0;0;0;569;82
8;0;0;0;0;555;83
9;0;0;0;0;543;83
10;0;0;0;0;539;84
11;0;0;0;0;535;85
12;0;0;0;0;540;85
13;0;0;0;0;564;86
14;0;0;0;0;590;86
15;0;0;0;0;601;86
0;0;0;0;0;611;86
1;0;0;0;0;626;85
2;0;0;0;0;620;84
3;0;0;0;0;563;84
4;0;0;0;0;525;83
5;0;0;0;0;547;82
6;0;0;0;0;588;82
7;0;0;0;0;630;82
8;0;0;0;0;668;81
9;0;0;0;0;709;81
10;0;0;0;0;730;80
11;0;0;0;0;706;79
12;0;0;0;0;680;77
13;0;0;0;0;704;77
